fname,dialogue,summary,topic
train_12382_ss,"#Person2#: 이거 어때? 괜찮고 저렴해. 겨우 34달러야.
#Person1#: 더 싼 거 있나요?
#Person2#: 죄송해요. 그게 제일 싼 것 같아요.
#Person1#: 입어봐도 될까요?
#Person2#: 네, 가능합니다. 피팅룸은 저쪽에 있어요.
#Person1#: 알겠어요. 이거 살게요.","#Person2#는 #Person1#에게 가장 저렴한 상품을 입어보도록 돕고, #Person1#는 그것을 구매하기로 결정합니다.",쇼핑
train_9632_ss,"#Person2#: Steven, 당신의 작업에 대한 요약을 해줄 수 있나요? 작업에서 무엇을 얻었나요?
#Person1#: 제가 수석 광고 디자이너로 일하면서 많은 실제 경험을 쌓았어요. 그리고 팀워크가 성공의 열쇠라는 것도 알게 되었죠.
#Person2#: 왜 그렇게 생각해요?
#Person1#: 팀 정신을 키우는 것이 정말 중요하다고 생각해요. 함께 한다면 기적도 이룰 수 있다고 믿어요.
#Person2#: 좋네요. 다른 건 없나요?
#Person1#: 제 강점은 책임감이 강하다는 점이에요. 하지만 인내심이 부족해요.
#Person2#: 당신의 겸손함과 성실함을 칭찬하지 않을 수 없네요. 다음 계획은 뭐죠?
#Person1#: 새 직장에서 더 많이 듣고 배우려고 해요. 제 분야에서 더 전문성을 높이려고 합니다.
#Person2#: 정말 훌륭한 일을 했다고 칭찬하고 싶네요.
#Person1#: 칭찬 감사합니다. 하지만 아직 배워야 할 게 많아요.","Steven은 수석 광고 디자이너로 일하면서 많은 경험을 쌓았고, 팀워크의 중요성을 깨달았다고 설명했습니다. 그는 책임감이 강하다는 강점이 있으나 인내심이 부족하다고 인정했습니다. 앞으로 새 직장에서 더 많이 배우고 전문성을 높이려는 계획입니다.",직업 경험과 계획
train_2242_ss,"#Person2#: 지난주에 왜 출근 안 했어? 너 없이 프로젝트 끝내느라 힘들었어. 
#Person1#: 미안해, Amy. 진짜 아파서 그랬어. 
#Person2#: 아, 그랬어? 무슨 병이었어? 
#Person1#: 음, 'donkey pox' 같은 새로운 병이었어. 아직 많이 들어본 사람은 없을 거야. 
#Person2#: 음, 내 생각엔 그냥 휴가 간 것 같기도 해.","#Person1#가 출근하지 않은 이유를 설명하지만, Amy는 그 설명을 믿지 않고 단순히 휴가를 간 것이라고 생각한다.",결근 이유
train_4352_ss,"#Person2#: 도와드릴까요, 아주머니?
#Person1#: 네, 아들 줄 스웨터를 고르고 싶어요.
#Person2#: 알겠습니다. 어떤 스타일을 생각하고 계신가요?
#Person1#: 아직은 없어요. 추천 좀 해주실래요?
#Person2#: 물론이죠, 아주머니. 그런데 아드님 나이가 어떻게 되시죠?
#Person1#: 열세 살이에요.
#Person2#: 키는 어떻게 되나요?
#Person1#: 약 158cm요. 아들은 좀 넉넉하게 맞는 스웨터를 좋아해요.
#Person2#: 알겠습니다. 이건 어떠신가요? 요즘 유행하는 스타일이고, 특히 십대들 사이에서 인기가 많습니다.
#Person1#: 이건 아마 좋아하지 않을 것 같아요. 아들은 단순한 스타일을 선호하거든요.
#Person2#: 그럼 이건 어떠세요?
#Person1#: 스타일은 괜찮은데, 색깔이 마음에 안 들어서요. 조금 더 생각해볼게요.",#Person1#가 아들에게 줄 스웨터를 고르려고 하지만 #Person2#의 추천이 마음에 들지 않습니다.,스웨터 쇼핑
train_11782_ss,"#Person2#: 그래서 여가 시간에 뭐 하는 걸 좋아하니, Lydia?
#Person1#: 나는 클래식 음악에 정말 빠져 있어. 너는?
#Person2#: 나는 야외 활동, 그러니까 등산이나 낚시 같은 거 하기를 좋아해. 캠핑은 어때?
#Person1#: 그냥 그저 그래. 캠핑 갔던 사진 있어?
#Person2#: 물론이지. 보고 싶어?
#Person1#: 좋지. 너 사진 찍는 거에 관심 많은가 봐.
#Person2#: 그게 내 취미 중 하나야. 너 사진에 대해 많이 알아?
#Person1#: 사실, 나는 알아. 대학에서 사진 수업을 꽤 많이 들었거든.
#Person2#: 이번 주말에 미술관에서 열리는 사진 전시회 들어봤어?
#Person1#: 응, 가려고 계획했어.
#Person2#: 잘 됐다, 나도 갈 거야.","#Person1#는 여가 시간에 클래식 음악 듣는 것을 좋아하며, #Person2#는 야외 활동을 좋아하고 사진에도 관심이 있다. 둘은 이번 주말에 미술관에서 열리는 사진 전시회에 함께 가기로 계획한다.",여가 활동과 취미
train_249_ss,"#Person2#: 이 집에 제안하고 싶지만, 어떻게 해야 할지 잘 모르겠어요.
#Person1#: 제가 부동산 중개인이니까 절차는 제가 처리해드릴게요. 얼마로 제안할까요?
#Person2#: 이 집이 정말 마음에 들어서, 제시된 가격인 삼십오만 달러 전액을 지불하고 싶어요.
#Person1#: 조금 협상 여지를 두면 좋을 것 같아요. 삼십이만 달러로 제안해보죠.
#Person2#: 그거 좋네요, 하지만 이 집을 놓치고 싶진 않아요.
#Person1#: 지금 시장이 좀 침체되어 있어서, 그 제안도 괜찮아요.
#Person2#: 집주인이 제안을 언제쯤 수락할지 알 수 있을까요?
#Person1#: 보통 집주인들은 며칠 안에 답변해요.
#Person2#: 그동안 은행에 연락해야 할까요?
#Person1#: 이미 대출 사전 승인 받으셔서 괜찮아요.","#Person2#는 부동산 중개인의 조언에 따라, #Person2#가 정말 마음에 드는 집에 대해 삼십오만 달러의 전액 제시 가격보다 낮은 가격을 제안합니다.",집 구매 제안
train_10572_ss,"#Person2#: 어떻게 남자친구 만났어, Cindy?
#Person1#: 지난 학기에 같은 과학 수업 들었어.
#Person2#: 누가 먼저 사귀자고 했어?
#Person1#: 내가 먼저 말했어.
#Person2#: 와, 대단해!
#Person1#: 별거 아니었어.
#Person2#: 부모님은 네가 남자친구 사귀는 거 어떻게 생각하셔?
#Person1#: 드디어 남자친구 생겼다고 기뻐하셔.
#Person2#: 정말 기뻐하셨구나!","Cindy는 과학 수업에서 남자친구를 만났고, 먼저 다가가 교제를 시작했습니다. 부모님은 이를 기뻐하십니다.",남자친구 교제
train_219_ss,"#Person2#: 어떤 종류의 일을 하고 싶으신가요?
#Person1#: 영어를 쓸 수 있는 일이면 좋겠고, 제 일에 어느 정도 책임도 지고 싶어요.
#Person2#: 정말 좋네요. 저는 비서가 자율적으로 일할 수 있고, 일상적인 책임, 예를 들어 일반적인 서신에 답하거나, 전화를 받아 주거나, 가끔 제 개인적인 일을 도와줄 수 있길 기대합니다.
#Person1#: 네, 알겠습니다. 이전 직장에서는 매일 타이핑하고 파일을 정리했어요.
#Person2#: 가이드 경험이 있으신가요?
#Person1#: 음, 정확하진 않지만 친구들 중 몇 명을 베이징 관광시켜 준 적은 있어요.
#Person2#: 가끔 외국에서 손님들이 오는데 비서가 쇼핑이나 관광을 안내해주면 좋겠어요.
#Person1#: 그거 괜찮을 것 같아요.","#Person1#는 영어를 사용할 수 있고 어느 정도 책임을 맡을 수 있는 일을 선호합니다. #Person2#은 비서가 자율적으로 업무를 수행하고, 일상적인 책임을 맡으며, 가끔 개인적인 일도 도와줄 수 있기를 기대합니다. #Person1#는 이러한 요구사항을 충족할 수 있을 것 같다고 응답합니다.",비서 직무 인터뷰
train_1168_ss,"#Person2#: 커피 마실래요?
#Person1#: 아니요, 괜찮아요. 최근에 심장에 문제가 있어서 의사가 커피를 줄이라고 했어요.
#Person2#: 그럼 수박 주스는 어때요? 맛있어요.
#Person1#: 좋아요.","#Person1#는 의사의 권유로 커피를 줄여야 하며, #Person2#는 대안으로 수박 주스를 추천합니다.",음료 선택
train_1901_ss,"#Person2#: 안녕하세요, 사장님! 오늘 하루 동안 우리가 논의한 내용을 말씀드리고 싶어요.
#Person1#: 그래요. 다 잘되고 있나요?
#Person2#: 네, 사실 아주 잘 진행되고 있는 것 같아요. 그들과 긴 회의를 가졌어요. 몇 차례 긴 논의 끝에 그들이 우리의 제안을 받아들이기로 했어요.
#Person1#: 정말요? 그거 정말 좋은 소식이네요. 정말 잘했어요. 또 다른 얘기할 것 있나요?
#Person2#: 오늘 그들의 재무이사와 만나고 내일은 다른 이사들과 만나서 마지막 세부사항을 조율할 예정이에요.
#Person1#: 알겠습니다. 변경을 원하시면, 작은 수정은 받아들일 수 있어요. 어떻게 진행되는지 알려주세요.
#Person2#: 네, 잊지 않고 꼭 말씀드릴게요.",#Person2#이 사장에게 그들의 제안이 받아들여졌고 내일 남은 세부사항을 조율할 것이라고 보고합니다.,업무 보고
