fname,dialogue,summary,topic
synthetic_0,"#Person1#: 신분증 분실해서 재발급 받아야 해.
#Person2#: 아, 그럼 같이 가서 도와줄게. 어디로 가야 해?
#Person1#: 시청에 가서 재발급 신청해야 해. 필요한 서류가 뭐였지?
#Person2#: 신분증 사본, 주민등록증 사본, 사진 두 장이 필요해. 다 준비했어?
#Person1#: 사진만 준비하면 돼. 사진은 어디서 찍을 수 있어?
#Person2#: 시청 근처에 사진관 있어. 거기서 찍고 가자.
#Person1#: 좋아, 그럼 우선 거기서 사진 찍고 시청으로 가자.","#Person1#이 신분증을 분실하여 재발급이 필요하고, #Person2#가 함께 시청으로 가서 도와주기로 합니다. 필요한 서류와 사진 준비 후 시청으로 가기로 합니다.",신분증 재발급
synthetic_1,"#Person1#: 안녕, Ryan! 나 이번에 회사에서 새로운 프로젝트를 맡게 됐어.
#Person2#: 정말 잘 됐네, Sarah! 축하해. 새로운 역할에 대해 어떤 기대가 있니?
#Person1#: 고마워, Ryan. 근데, 이 새로운 역할을 맡으면서 급여 협상에 대해 생각하고 있어.
#Person2#: 급여 협상? 그건 중요한 문제야. 어떤 계획이 있어?
#Person1#: 아직 구체적으로 정하지 않았지만, 내 역할과 책임이 커졌으니 그에 맞는 급여 인상을 요청하려고 해.
#Person2#: 그건 현명한 생각이야. 너의 성과와 새로운 역할에 대한 기여를 강조하면서 협상을 준비해.
#Person1#: 맞아. 회사에서 내 기여를 잘 알고 있으니, 그걸 기반으로 협상을 진행할 거야.
#Person2#: 그리고 시장 조사도 잊지 마. 네 역할과 책임에 맞는 급여 범위를 알고 있으면 협상에 도움이 될 거야.
#Person1#: 좋은 조언이야, Ryan. 시장 조사도 꼼꼼히 해볼게. 협상이 잘 되면 좋겠어.
#Person2#: 잘 될 거야, Sarah. 너의 능력과 경험을 믿어.","#Person1#은 새로운 프로젝트와 함께 새로운 역할을 맡게 되어, 급여 협상에 대해 #Person2#와 논의합니다. #Person2#는 시장 조사를 통한 준비와 자신의 기여를 강조하는 것을 조언합니다.",급여 협상
synthetic_2,"#Person1#: 안녕! 이번 주말에 #Person2#의 생일이잖아. 생일 선물로 어떤 게 좋을지 생각해봤어?
#Person2#: 아직 구체적인 아이디어가 없어. 하지만 #Person1#이 좋아하는 걸로 선물하면 좋겠다.
#Person1#: 그럼, 최근 #Person2#가 좋아하던 잡지 기사를 봤는데, 최신 전자책을 추천해줬어. #Person2#도 읽을 거 같았어.
#Person2#: 그거 좋은 생각이야! 그런데 전자책은 가격이 비싸서 좀 고민이야. 다른 선물 아이디어가 있을까?
#Person1#: 그렇다면, #Person2#가 좋아했던 작가님의 소설책도 괜찮을 것 같아. 가격은 전자책보다 싸고, #Person2#가 좋아하는 작가라 더욱 뜻깊을 거야.
#Person2#: 좋은 생각이야! 작가님의 소설책이라면 확실히 좋아할 거야. 고마워, #Person1#!
#Person1#: 천만에! #Person2#의 생일을 기쁘게 보낼 수 있도록 하자!",#Person1#은 #Person2#의 생일 선물로 최신 전자책을 추천하지만 가격이 비싸서 다른 아이디어를 찾습니다. 결국 #Person2#가 좋아하는 작가님의 소설책을 선물하기로 결정합니다.,생일 선물 구매
synthetic_3,"#Person1#: 은행 출금할 때 수수료가 얼마인지 알고 있어?
#Person2#: 수수료요? 출금하는 시간에 따라 다른 거 같은데, 정확히 기억은 안 나네요.
#Person1#: 음, 제가 들은 바로는 영업 시간 내에는 수수료가 적고, 영업 시간 이후에는 더 비싸다고 하더라고요.
#Person2#: 아, 그럴 수도 있겠네요. 그런데 ATM기를 이용하면 수수료가 더 비싸지 않나요?
#Person1#: 네, 맞아요. 다른 은행의 ATM기를 사용하면 수수료가 추가되기도 하죠. 가능한 한 우리 은행의 ATM기를 이용하는 게 좋아요.
#Person2#: 그럼 출금할 때마다 수수료를 확인해야겠네요. 혹시 특별한 앱이나 서비스가 있어서 수수료를 미리 알 수 있을까요?
#Person1#: 네, 많은 은행들이 출금 수수료를 미리 확인할 수 있는 앱을 제공하고 있어요. 한번 확인해보세요.
#Person2#: 좋아요, 그럼 다음에 은행 출금할 때 수수료 앱을 사용해보겠습니다.
#Person1#: 그렇게 하시면 좋을 것 같아요. 수수료 절약에 도움이 될 거예요.","#Person1#이 은행 출금 시 수수료가 얼마인지 알고 있는지 묻자, #Person2#는 출금 시간에 따라 다르다고 대답한다. #Person1#은 수수료가 영업 시간 내와 이후, 또한 ATM기 이용 시와 다르다고 설명한다. #Person2#는 수수료를 미리 확인할 수 있는 앱이나 서비스가 있는지 궁금해하고, #Person1#은 많은 은행들이 제공하는 수수료를 확인할 수 있는 앱을 추천한다.",은행 출금
synthetic_4,"#Person1#: 해외에서 귀국할 때 세관 통과 절차가 어떻게 되나요?
#Person2#: 세관 통과 시에는 먼저 세관신고서를 작성해야 해요. 그리고 휴대품 신고대에서 신고서를 제출하고, 검사를 받아야 하죠.
#Person1#: 어떤 물품을 신고해야 하나요?
#Person2#: 해외에서 구입한 물품 중 일정 금액 이상의 제품, 예를 들어 술이나 담배, 향수 등은 반드시 신고해야 해요. 그리고 외국 화폐도 일정 금액 이상이면 신고 대상이에요.
#Person1#: 신고하지 않으면 어떻게 되나요?
#Person2#: 신고를 하지 않거나 허위로 신고하면 과태료를 물게 될 수 있어요. 심한 경우에는 형사 처벌을 받을 수도 있으니 주의해야 해요.","#Person1#가 해외 귀국 시 세관 통과 절차에 대해 묻습니다. #Person2#는 세관신고서 작성, 휴대품 신고대 제출, 검사 과정을 설명하고, 일정 금액 이상의 제품과 외국 화폐는 반드시 신고해야 한다고 대답합니다. 또한 신고하지 않을 경우 과태료나 형사 처벌을 받을 수 있다고 경고합니다.",세관 통과 절차
synthetic_5,"#Person1#: 최근에 본 영화 중에 정말 재밌는 거 있어.
#Person2#: 정말? 어떤 영화야?
#Person1#: 드라마 장르의 '시간의 흐름'이라는 영화야. 감동적이면서도 예상치 못한 전개가 많아.
#Person2#: 나는 액션 영화를 좋아하는데, 그 영화가 그렇게 감동적이라는 게 신기하네.
#Person1#: 액션은 없지만, 각본이 너무 잘 짜여 있어서 전혀 지루하지 않아. 특히 결말이 정말 마음에 들었어.
#Person2#: 결말이 마음에 들었다고? 그건 나도 좀 궁금하네.
#Person1#: 직접 봐야 더 이해가 잘 될 거야. 주인공의 여정이 정말 감동적이야.
#Person2#: 알겠어, 꼭 한 번 봐봐야겠어. 추천 고마워.
#Person1#: 별말씀을. 같이 볼래? 영화관에서 보면 더 좋을 거 같아.
#Person2#: 좋은 생각이다! 다음 주에 같이 보러 가자.","#Person1#은 #Person2#에게 '시간의 흐름'이라는 감동적인 영화를 추천합니다. #Person2#는 액션 영화를 선호하지만, #Person1#의 설명에 흥미를 느끼고 같이 보러 가기로 합니다.",영화 감상
synthetic_6,"#Person1#: 안녕하세요, 제가 오늘 신고된 용의자를 식별하는 데 도움을 요청받고 왔습니다. 어떤 정보가 있으신가요?
#Person2#: 네, 어제 저녁에 발생한 강도 사건의 용의자가 있다고 합니다. 용의자는 키가 크고, 검은 모자와 선글라스를 착용하고 있었으며, 빨간색 재킷을 입고 있었습니다.
#Person1#: 추가적으로 어떤 정보를 알고 계신가요? 예를 들어, 용의자의 인상착의나 행동 패턴 같은 것들 말이죠.
#Person2#: 용의자는 빠른 걸음으로 도망갔고, 현장에 있던 목격자가 용의자가 '빨리 도망쳐야 해'라고 말하는 것을 들었다고 합니다.
#Person1#: 감사합니다. 이 정보를 바탕으로 용의자를 식별하는 데 큰 도움이 될 것 같습니다. 추가적으로 필요한 정보가 있으면 언제든지 연락 주세요.
#Person2#: 네, 감사합니다. 빠른 시일 내에 용의자를 잡아주시길 바랍니다.","#Person2#는 #Person1#에게 키가 크고, 검은 모자와 선글라스, 빨간색 재킷을 입은 강도 사건의 용의자에 대한 정보를 제공합니다. 용의자는 빠른 걸음으로 도망쳤고, '빨리 도망쳐야 해'라고 말했습니다.",용의자 식별
synthetic_7,"#Person1#: 안녕, 루이즈. 중국에서 다녀온 선물 있어?
#Person2#: 안녕, 마크. 응, 물론 있지. 이거 중국 전통 차 세트야.
#Person1#: 멋지다! 차 좋아하는 거 알아서 정말 잘 골랐네.
#Person2#: 기뻐해 줘서 고마워. 그리고 또 이거는 중국 전통 자수 손수건이야.
#Person1#: 정말 예쁘다. 색감이 마음에 들어.
#Person2#: 네가 좋아하니 나도 기분이 좋아. 이것도 중국 출장 중에 샀는데, 향로야.
#Person1#: 향로라니 정말 신기하다. 향 나는 거 좋아해서 이거 정말 좋은 선물이야.
#Person2#: 정말? 그럼 앞으로 우리 집에서 같이 향을 피우자.
#Person1#: 좋은 생각이야! 다음에 같이 하자.","루이즈는 중국 출장 중 마크에게 전통 차 세트, 자수 손수건, 그리고 향로를 선물로 준다. 마크는 선물을 받아 기쁘고, 두 사람은 다음에 같이 향을 피우기로 한다.",중국 출장 선물
synthetic_8,"#Person1#: 안녕하세요, 다음 달에 가족이 함께 여행을 가려고 하는데 호텔 예약을 도와주실 수 있나요?
#Person2#: 안녕하세요! 물론입니다. 어디로의 여행을 계획하고 계신가요?
#Person1#: 제주도로 가려고 해요.
#Person2#: 제주도는 항상 인기가 많죠! 몇 박 예약을 도와드릴까요?
#Person1#: 5박 예약을 하려고 해요.
#Person2#: 알겠습니다. 가족 구성원은 몇 분이신가요?
#Person1#: 4명이에요, 어른 2명에 아이 2명이요.
#Person2#: 그렇군요. 아이들과 함께 가신다면 패밀리룸이 좋을 것 같아요. 어떤 타입의 방을 선호하시나요?
#Person1#: 오션뷰가 보이는 방이면 좋겠어요.
#Person2#: 오션뷰 패밀리룸은 현재 재고가 있습니다. 예약을 진행할까요?
#Person1#: 네, 부탁드립니다.
#Person2#: 예약을 완료했습니다. 예약번호는 1234-5678입니다. 여행 잘 가세요!","#Person1#은 가족 여행을 위해 제주도의 호텔을 예약하려고 #Person2#에게 도움을 요청합니다. #Person1#은 5박 동안 오션뷰 패밀리룸을 예약하고, #Person2#은 예약을 완료합니다.",호텔 예약
synthetic_9,"#Person1#: 안녕, Sarah! 네 방의 새로운 장식을 좀 보여줄래?
#Person2#: 물론이지, Mark! 최근에 새로운 색상과 가구로 방을 꾸몄어. 한번 와서 봐봐.
#Person1#: 와, 정말 멋지다! 벽에 칠한 파란색이 방에 새로운 느낌을 줘.
#Person2#: 고마워! 그리고 새로운 책상과 의자도 마음에 들어. 더 편안하고 작업하기 좋아졌어.
#Person1#: 그리고 벽에 걸어놓은 포스터들도 너무 잘 어울려. 네 취향이 잘 반영되어 보여.
#Person2#: 그렇게 생각해줘서 기뻐. 네가 좋아해줘서 정말 기쁘다.
#Person1#: 나도 네가 얼마나 열심히 꾸몄는지 알겠어. 정말 잘해냈어, Sarah.
#Person2#: 고마워, Mark. 네 의견은 항상 큰 도움이 돼.","#Person2#는 #Person1#에게 최근에 장식을 바꾼 방을 보여줍니다. 벽의 새로운 파란색과 새로운 책상, 의자, 포스터 등이 #Person1#에게 잘 어울린다고 평가받습니다. #Person1#는 #Person2#의 노력을 칭찬하고, #Person2#는 #Person1#의 의견에 감사해합니다.",방 장식
